n,s
1,1.1000000085914508e-05
5,4.999998054699972e-06
13,5.999998393235728e-06
29,8.000002708286047e-06
61,3.9999998989515007e-05
125,2.300000051036477e-05
253,9.59999997576233e-05
509,0.0001049999991664663
1021,0.0002590000003692694
2045,0.000389000000723172
4093,0.0007790000017848797
8189,0.0015010000024631154
16381,0.002952000002551358
32765,0.005812999999761814
65533,0.011964000001171371
131069,0.024725999999645865
262141,0.05190800000127638
524285,0.10197600000174134
1048573,0.20773499999995693
2097149,0.6275799999966694
4194301,1.167248000001564
8388605,1.9293450000004668
