number_of_items,time_in_seconds
 1,1.4999997802078724e-05
 2,7.99999907030724e-06
 3,8.999999408842996e-06
 4,2.9999999242136255e-05
 5,5.199999941396527e-05
 6,0.0001320000010309741
 7,0.00019600000086938962
 8,0.0003120000001217704
 9,0.0006310000026132911
10,0.0017890000017359853
11,0.002887000002374407
12,0.006077000001823762
13,0.013199000000895467
14,0.027513999997609062
15,0.05626699999993434
16,0.16038600000320002
17,0.23885199999858742
18,0.6026270000002114
19,1.1974190000000817
20,2.3625089999986812
